% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 12:47
% Table:              Table 1 - Global Evaluation 1 (intop1(solid.rho*solid.disp^2))
% Eigenfrequency         intop1(solid.rho*solid.disp^2) (kg*m^2)
0.0012665737304403957    3.130009887677174
596.1404201815521        3.1498509894036
755.1766682033399        5.48392911257052
1150.8830821719037       1.9080256705144825
1459.802997473669        2.255935039556413
1684.5153321488124       3.34246218250629
1868.0699577334933       2.011461256624718
2039.2180168219559       1.6712001286215459
2468.4848094528775       2.3850415749079525
2587.470043483654        2.122659284390931
2815.69023169962         2.759198368497928
3682.4828886605756       1.8884078526939865
3835.9919523827193       1.9779507292818759
4995.216478482978        2.569760845346822
5329.836926056347        2.4875202703897505
5418.998650544558        3.4015509577568603
5492.296095874825        2.143189542248113
6898.979193509237        4.682342773829861
6983.188064546653        4.661951661149989
7324.986615090169        1.6136658029899844
