% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 14:43
% Table:              Table 1 - Global Evaluation 1 (intop1(solid.rho*solid.disp^2))
% Eigenfrequency                                  intop1(solid.rho*solid.disp^2) (kg*m^2)
4.7339737629704655E-4i                            3.2239429198905283
600.3077314587214                                 3.192879921400203
757.5016951364287                                 9.099485420884449
1137.817727911093                                 1.4025413233805764
1475.7327166685689                                3.9763474280424624
1664.707303454327                                 2.9957840783779868
1864.820434669484                                 1.3746818180502034
2063.2443637261645                                1.0591432274598978
2505.6264833010305                                5.7688266616740975
2616.394710343452                                 1.681431147100065
2707.0943008727477                                1.5325509774129917
2819.0873477074097                                2.596751848691465
3662.0802836418734                                2.2692774402962295
3980.174369260155                                 1.5098667040974718
5089.640095255555                                 3.928598498332232
5400.5343315635155                                2.3393308931441847
5442.340095960123                                 2.0600191905977696
5545.098668040706                                 2.6586677785548223
6682.834861640683                                 3.0816661585159286
6953.996930458283                                 5.963883422482102
