% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:05
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Z component (m), Point: 129   Displacement field, Z component (m), Point: 130   Displacement field, Z component (m), Point: 131   Displacement field, Z component (m), Point: 132   Displacement field, Z component (m), Point: 133
0.0018537361465796967i                            -2.624484994151361                                -2.624484994151181                                -2.6244849941512176                               -2.624484994150588                                -2.624484994150576
574.7578125181318                                 0.0015780926857617943                             -0.0011722970362424588                            -0.0012385393135911982                            -0.011739118434480805                             -0.011688993690547942
687.773288604292                                  -0.0533646804750691                               -0.05299351018932066                              -0.05290821597102742                              -0.05131423919734442                              -0.051455421904213115
1113.942186180718                                 -0.08675268697029898                              0.0038536601119570782                             0.003609482290819027                              0.3452734261620528                                0.3455437629977239
1362.4069004031387                                0.12689643699291572                               0.006986413667581763                              0.006568758705115521                              -0.446928105507846                                -0.4464789895688671
1679.1663920339495                                1.518175386108204                                 1.1136650169700155                                1.1135153330068186                                -0.4146437544017922                               -0.41507576198249635
1855.6239658721333                                -0.01651431006945319                              0.18932217484999977                               0.18902562433559963                               0.9651291402172034                                0.9653447744540586
2023.4307599769995                                0.28116679107122855                               0.43274100103827656                               0.43244761148412775                               1.0038380139759995                                1.002787578061802
2405.6965100041384                                2.6115536907335573                                2.4633701141865125                                2.4632546365199772                                1.8981488305477217                                1.8981217279467384
2526.7750115939043                                0.029655089351107944                              0.03045240042749353                               0.025691961184798072                              0.02068379695790629                               0.02392383775641164
2544.2630558503934                                -0.7939132522263601                               -0.8719150395028616                               -0.8727167199502402                               -1.1661063087220773                               -1.1651674226961302
2774.9053619547276                                -0.031756346746374564                             -0.036826708897047034                             -0.036973869024666046                             -0.05395586203941085                              -0.058643805136767826
2799.0554098408675                                0.16185329875950363                               0.20198595298342767                               0.19658598098265784                               0.33711737788881013                               0.34322342327165156
3659.7016290261035                                0.1490133553359074                                0.449221645902167                                 0.4493746634515106                                1.578355747554094                                 1.5776052569244303
3986.927053712355                                 -0.010535762529823535                             0.07639494598677178                               0.0734943574160048                                0.39503124808496815                               0.3977441410947359
4993.514904116048                                 0.5069168270352178                                0.5389006464642401                                0.5370617938052066                                0.6538106847443427                                0.6544721921862372
5345.755027673949                                 -0.27522452651655205                              0.06769869881883224                               0.07091187349999839                               1.3649971292714727                                1.3636693239014293
5428.329187591395                                 -1.2024399280487574                               -1.0971015846701397                               -1.0946214647542862                               -0.6819018943985016                               -0.6824249019122784
5481.540833129777                                 0.592770445659005                                 0.6032231118346607                                0.6051186092030906                                0.6404137365440546                                0.6382305561334007
6313.430279897452                                 -0.03331904370321031                              -0.05849969074667837                              -0.06534487394826703                              -0.16397369698398848                              -0.17204393227924206
