% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:04
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency                                  Displacement field, X component (m), Point: 1     Displacement field, X component (m), Point: 2     Displacement field, X component (m), Point: 3     Displacement field, X component (m), Point: 4     Displacement field, X component (m), Point: 5
0.0018537361465796967i                            3.835636313487096E-12                             -0.25235432635884014                              0.25235432636252897                               -0.2523543263665131                               0.2523543263549883
574.7578125181318                                 -0.17420425873003204                              -0.10109988955337094                              -0.10105366149190635                              0.17504281297434138                               0.17509681529238902
687.773288604292                                  -0.27325505247356424                              -0.12260311080370502                              -0.11284480793464245                              0.464533665389227                                 0.4742909998839431
1113.942186180718                                 -0.5044653098944406                               -0.2922529192498892                               -0.2908106102831251                               0.5118941180934392                                0.5126594097163659
1362.4069004031387                                -0.7795573773151027                               -0.44783279328775855                              -0.4491770976310202                               0.8010671527937888                                0.8010549649711541
1679.1663920339495                                0.032844155213551086                              0.16673218667636566                               0.043343210633558775                              0.44101702728613434                               0.3114091951494456
1855.6239658721333                                -0.4344421043397504                               -0.25345792065078465                              -0.24857313941326922                              0.4409967685334461                                0.44164896656609404
2023.4307599769995                                0.04592071747416901                               0.2556173694130607                                0.188213505887489                                 0.9149646638557821                                0.8514925346272082
2405.6965100041384                                -0.0709204003610469                               -0.033912321871786374                             -0.06799403811816748                              0.040453473539111225                              0.008876528221981617
2526.7750115939043                                5.367553892400495                                 3.46164011607712                                  3.461363992321413                                 -3.731015024339565                                -3.7313805183896998
2544.2630558503934                                -0.9899206110000637                               -0.564561105878748                                -0.5534177055568333                               1.0587548575233563                                1.07388891031908
2774.9053619547276                                -0.23406524624649594                              0.6815808101180544                                0.6889684487346809                                4.140685198875131                                 4.147833602883117
2799.0554098408675                                -5.871793125451894                                -3.3358042099966667                               -3.3414932450611516                               6.217741100313243                                 6.210132620448579
3659.7016290261035                                0.2851768073428954                                0.1300071658733488                                0.12605554092234914                               -0.4489233811153562                               -0.4776075064983114
3986.927053712355                                 2.4442123478237736                                1.3324555132827862                                1.4327780872025726                                -2.6731457615191054                               -2.5644598193894326
4993.514904116048                                 1.3593862335744298                                2.024842298574536                                 -0.20913416903310436                              0.3243559640268532                                -1.912136325276197
5345.755027673949                                 -2.3814321681837143                               -1.2394977617742586                               -1.8900434607493701                               1.8096255453976502                                1.2141055881688676
5428.329187591395                                 1.8052497476612448                                1.1068359100128506                                1.173680782221092                                 -1.3932242077126138                               -1.3394406317956729
5481.540833129777                                 1.8534939787239613                                0.9960568891207976                                0.9844577187576572                                -2.251460457625276                                -2.267910420002566
6313.430279897452                                 -2.77971842239923                                 -2.8136216915578727                               -2.780090522302229                                -2.868658411113349                                -2.8276884016321433
