% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:02
% Table:              Table 1 - Global Evaluation 1 (intop1(solid.rho*solid.disp^2))
% Eigenfrequency                                  intop1(solid.rho*solid.disp^2) (kg*m^2)
0.0018537361465796967i                            2.0278001813547264
574.7578125181318                                 2.27793032105992
687.773288604292                                  1.5838395252224122
1113.942186180718                                 1.921673169548026
1362.4069004031387                                1.8484248796800018
1679.1663920339495                                4.757430160596859
1855.6239658721333                                2.646239464910907
2023.4307599769995                                2.187739369559377
2405.6965100041384                                2.357947807485383
2526.7750115939043                                2.320215647030917
2544.2630558503934                                1.982924101361463
2774.9053619547276                                2.1912890311654953
2799.0554098408675                                2.8474370144674475
3659.7016290261035                                2.4658282083883507
3986.927053712355                                 1.847074703013253
4993.514904116048                                 3.038092586165023
5345.755027673949                                 2.1548295829229325
5428.329187591395                                 2.278391352871181
5481.540833129777                                 1.8557931706522044
6313.430279897452                                 1.1493494885344235
