% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:08
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency                                  Displacement field, X component (m), Point: 42    Displacement field, X component (m), Point: 43
0.0018537361465796967i                            1.5645968234345113                                1.8674220150642564
574.7578125181318                                 1.792820365209878E-4                              2.536008990274086E-4
687.773288604292                                  -0.3703231883352562                               -0.38317534861493757
1113.942186180718                                 4.426014414472912E-4                              -8.861118371324062E-4
1362.4069004031387                                0.0017035925233985947                             0.002956233457915027
1679.1663920339495                                3.1184155891420784                                4.904480965123034
1855.6239658721333                                -0.0029683750767270003                            0.003495827060637667
2023.4307599769995                                3.310453596874443                                 7.275841626189974
2405.6965100041384                                4.1598758406815326E-4                             -7.05811752828323E-4
2526.7750115939043                                -0.025554914177773624                             0.31351497652204074
2544.2630558503934                                -0.0011114996796437722                            -0.0021242465033988853
2774.9053619547276                                -0.010334824003379085                             -2.2756941266252437
2799.0554098408675                                6.07334316726975E-4                               -0.006073029722426154
3659.7016290261035                                0.0011966460014003338                             0.0044150176626950085
3986.927053712355                                 1.9174556237211757                                -1.476269541097154
4993.514904116048                                 -0.78746438333254                                 0.34793017229428364
5345.755027673949                                 1.6961114716499341                                -0.5034140086000589
5428.329187591395                                 0.0019318622865664914                             0.0011672823444464605
5481.540833129777                                 -0.004690952832861333                             -0.0019577320061265223
6313.430279897452                                 3.1198517592833535E-4                             -1.4759941969345655E-4
