% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:03
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency                                  Displacement field, X component (m), Point: 129   Displacement field, X component (m), Point: 130   Displacement field, X component (m), Point: 131   Displacement field, X component (m), Point: 132   Displacement field, X component (m), Point: 133
0.0018537361465796967i                            -1.2582073403056527E-12                           -0.25235432636062166                              0.2523543263589308                                -0.2523543263591007                               0.2523543263604919
574.7578125181318                                 0.1742829926799571                                0.10122494493323991                               0.101142306138056                                 -0.17481520921882054                              -0.17490422558600607
687.773288604292                                  -0.273323517303269                                -0.12266315439120146                              -0.1128694714226005                               0.4645784026374127                                0.47436858980128926
1113.942186180718                                 0.504688443565292                                 0.29238458116634386                               0.2909107159941251                                -0.5121755871268198                               -0.5129684997300389
1362.4069004031387                                0.77952953217065                                  0.4479682952870372                                0.4490631169701504                                -0.8008208905507171                               -0.8010459236631212
1679.1663920339495                                0.03314314635149288                               0.16693141850532595                               0.04358469139662339                               0.4408701031218438                                0.31133008310137744
1855.6239658721333                                0.43404527833589435                               0.25342908675822295                               0.24854227307552298                               -0.43963291900546914                              -0.44027194788068996
2023.4307599769995                                0.04323575871015602                               0.25408135293195794                               0.18682620744350353                               0.9181064100980039                                0.8547445920816825
2405.6965100041384                                0.07339791962427057                               0.03560550394223504                               0.06965614275787022                               -0.04177810759902643                              -0.010267551374480325
2526.7750115939043                                5.3748608791707815                                3.4664821895798332                                3.464946369513456                                 -3.738067769302595                                -3.7396037101992894
2544.2630558503934                                0.9838648419788374                                0.5605367075462093                                0.5491249457088055                                -1.0557105328211611                               -1.0710642025918462
2774.9053619547276                                -0.26799318855084925                              0.6619182985487303                                0.6699047652464497                                4.176077834478043                                 4.183777265404863
2799.0554098408675                                5.862865631209704                                 3.3375864099448402                                3.341572967757151                                 -6.179143322707888                                -6.173121670279755
3659.7016290261035                                -0.2867813898338711                               -0.1307798090173335                               -0.12677771110944336                              0.45164695400023347                               0.4802633159786101
3986.927053712355                                 2.4470523346578283                                1.334684861170371                                 1.434143853517812                                 -2.674959051904016                                -2.5670500187768934
4993.514904116048                                 1.3577497483753536                                2.023835745395701                                 -0.21084237479422913                              0.32433096262261524                               -1.9128766150964287
5345.755027673949                                 -2.3777511708857966                               -1.2380988982615027                               -1.8880032456045897                               1.8042146933870584                                1.2092853452305246
5428.329187591395                                 -1.7973093446260588                               -1.102815966358296                                -1.167645417231609                                1.3864963160715538                                1.3346485271403794
5481.540833129777                                 -1.856631593571912                                -0.9979227442737688                               -0.9868532647756187                               2.2535040670717406                                2.269485660105
6313.430279897452                                 2.7791090260103797                                2.8132545573190413                                2.7787920485561397                                2.8673755766913205                                2.825637661785198
