% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:06
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Z component (m), Point: 1     Displacement field, Z component (m), Point: 2     Displacement field, Z component (m), Point: 3     Displacement field, Z component (m), Point: 4     Displacement field, Z component (m), Point: 5
0.0018537361465796967i                            2.6244849941513397                                2.6244849941510524                                2.624484994151058                                 2.624484994149927                                 2.6244849941499373
574.7578125181318                                 0.0014817106305466431                             -0.0012656122667395655                            -0.0013330174092022365                            -0.011828754371652084                             -0.011778461153421804
687.773288604292                                  0.05336017497738204                               0.05299133774293656                               0.05290370813127459                               0.05130641317298425                               0.05144776775611205
1113.942186180718                                 -0.08629705844272359                              0.004178093273865202                              0.003929978166440686                              0.34507313088189234                               0.3453439471751763
1362.4069004031387                                0.1256576110973968                                0.005945965487561766                              0.005517733387847053                              -0.4472818917665917                               -0.4468325458288266
1679.1663920339495                                -1.5184618832949408                               -1.1129368152845605                               -1.1127845561366818                               0.41921244560219106                               0.4196482958057305
1855.6239658721333                                -0.013834699003135647                             0.19074370081320619                               0.19044713937061336                               0.9617808812409243                                0.9619992904160816
2023.4307599769995                                -0.2818299878565819                               -0.43390010905738796                              -0.4336198909181991                               -1.0069179141088098                               -1.005869651339514
2405.6965100041384                                2.6118285083394386                                2.463608602470305                                 2.4635022757389375                                1.8982522430510937                                1.8982176687417178
2526.7750115939043                                -0.030832979225376436                             -0.03180017871515285                              -0.026960421585870958                             -0.02212150097873241                              -0.02535596629460333
2544.2630558503934                                -0.7939565732150217                               -0.871853400706727                                -0.8726896971237793                               -1.1658093466787276                               -1.1648664579022536
2774.9053619547276                                0.029899119213634345                              0.03489614135280618                               0.03502462124346663                               0.051579572954681005                              0.05623647551652544
2799.0554098408675                                0.16059831838944308                               0.2009847921668472                                0.19545699963863622                               0.33625785264461466                               0.342408615581456
3659.7016290261035                                0.1490565700675508                                0.44933999839067096                               0.4495371197137192                                1.5789304937264979                                1.5781831596770393
3986.927053712355                                 0.010904535245091874                              -0.07555155686644194                              -0.07259977463942084                              -0.3920380458996782                               -0.39474750793363367
4993.514904116048                                 -0.50555083192943                                 -0.5379847579193616                               -0.5361054781679433                               -0.6543484835924954                               -0.6550235440987549
5345.755027673949                                 0.2680886550196005                                -0.07345876439389398                              -0.07679553787347228                              -1.3661547785990111                               -1.3648295851773768
5428.329187591395                                 -1.2017100480603968                               -1.0958758715254269                               -1.0933536611782761                               -0.6784914870612254                               -0.6790047552061635
5481.540833129777                                 0.5945837116682553                                0.6038369742589098                                0.6058087264847759                                0.6369008867293424                                0.6347199221306866
6313.430279897452                                 -0.033095534231822654                             -0.05859981760706723                              -0.06544172081146678                              -0.1653542725329886                               -0.1734327250561212
