% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:03
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency                                  Displacement field, X component (m), Point: 37    Displacement field, X component (m), Point: 39    Displacement field, X component (m), Point: 65    Displacement field, X component (m), Point: 93    Displacement field, X component (m), Point: 95
0.0018537361465796967i                            -1.5141259581645325                               -1.514125958164396                                -1.514125958164567                                -1.5141259581645374                               -1.5141259581643836
574.7578125181318                                 9.546538212243578E-5                              1.2079306127807756E-4                             8.397750617520682E-5                              8.134710921300537E-5                              9.024006054783467E-5
687.773288604292                                  0.006920007828343846                              0.16603078190409662                               -0.03520920013109259                              0.0069200507056723795                             0.16603074329531387
1113.942186180718                                 3.4850476497150825E-5                             -4.07415334765278E-5                              1.9281537833069087E-5                             -7.438754501102477E-5                             -2.8927600851394556E-4
1362.4069004031387                                -1.4493924055365123E-4                            4.1992853146151203E-4                             6.346842817011693E-5                              3.3058598258354284E-4                             -4.269255306971804E-5
1679.1663920339495                                0.26471431057040873                               0.8163183200424169                                0.11849911444334138                               0.26471169615842305                               0.8163166810769323
1855.6239658721333                                9.719035628330069E-4                              -6.216785529058784E-5                             8.775748130220531E-4                              2.6983907335194313E-4                             -6.011263063922672E-4
2023.4307599769995                                0.7658363062813889                                0.5471023533832592                                0.8234727479083448                                0.7658355818133707                                0.5471052395574126
2405.6965100041384                                0.003390728196739022                              0.0020575471660385773                             5.080835920849526E-4                              -0.0021658230313104446                            2.2655914854307363E-4
2526.7750115939043                                0.7429615478269761                                1.1452400676366907                                0.6358345905295515                                0.742959014655382                                 1.14524351585045
2544.2630558503934                                0.0018604253024957775                             -0.003182261802144491                             -1.835436524757964E-4                             -0.0019327690752179913                            0.004484485534600153
2774.9053619547276                                1.7583806834216793                                1.8055717866391439                                1.7444564611982987                                1.758373811752695                                 1.8055763315401545
2799.0554098408675                                0.0059941321759380915                             0.006777250728283055                              0.006396579711645833                              0.006689091928407536                              0.005403685287477694
3659.7016290261035                                0.00393512099897761                               0.001002914889849014                              6.119898728025277E-4                              -0.002261285215804163                             0.00266660876120695
3986.927053712355                                 0.05889136053830377                               -0.5983526287355553                               0.23326582311197097                               0.05888771518505463                               -0.598346919027417
4993.514904116048                                 3.7063626658944258                                3.604076754166178                                 3.7242979855046574                                3.7063363019160747                                3.604077830511628
5345.755027673949                                 -0.40782503371247375                              1.5934152240683326                                -0.9389441605922019                               -0.40781920418731094                              1.5933900649281683
5428.329187591395                                 0.0017707726540556307                             -0.0026661546529330054                            0.0017460541110515659                             6.549632123341416E-4                              0.0012578166084461688
5481.540833129777                                 0.0012131226281260831                             0.0027708318417048856                             -7.979789635615763E-4                             -0.001246553939988011                             0.003098987351696975
6313.430279897452                                 0.004608502784567639                              0.005743581514014392                              4.2177081470645754E-4                             -0.0036382442520841198                            -0.003948064947190164
