% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:07
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Y-component (m), Point: 1     Displacement field, Y-component (m), Point: 2     Displacement field, Y-component (m), Point: 3     Displacement field, Y-component (m), Point: 4     Displacement field, Y-component (m), Point: 5
0.0018537361465796967i                            -3.1972468227216546E-11                           -3.3126810141077295E-11                           -3.08455627150539E-11                             -3.314678258439512E-11                            -3.087160085162521E-11
574.7578125181318                                 2.5844832413595937                                2.574026061460725                                 2.5947884486052804                                2.574041384979349                                 2.5948033669890047
687.773288604292                                  3.4411057378806644                                3.439397891662594                                 3.442502508106611                                 3.4394247144796672                                3.4425277143471424
1113.942186180718                                 2.7819776193824257                                3.1189071274406865                                2.444375155584894                                 3.1189748060599274                                2.4444224564875485
1362.4069004031387                                3.4426927001066012                                2.994368937270545                                 3.88984252821954                                  2.99446212383791                                  3.8899676606572253
1679.1663920339495                                0.622353000150245                                 2.1378329665053175                                -0.89358925380728                                 2.137908372574054                                 -0.8936386320529056
1855.6239658721333                                1.3569059884840915                                2.1196938533578225                                0.5933862777955927                                2.119843484471614                                 0.593403101494322
2023.4307599769995                                1.2202299697063657                                0.6528791019733119                                1.786382849164946                                 0.6528686712745957                                1.786504572910881
2405.6965100041384                                0.1189566026902313                                -0.4407010984722032                               0.6785443098396943                                -0.44060122111472627                              0.6784623199229175
2526.7750115939043                                -10.577798385063716                               -10.566533348469878                               -10.577740481261522                               -10.567741664680598                               -10.578914571640631
2544.2630558503934                                2.333654557797428                                 2.041970384468611                                 2.6227822435691976                                2.0421352786828657                                2.6231521089716576
2774.9053619547276                                4.443654496288051                                 4.459150197215877                                 4.421608561539344                                 4.459731719041255                                 4.4221529240331074
2799.0554098408675                                12.527744176439205                                12.659259090452327                                12.379541703375985                                12.661037567799417                                12.381186071298439
3659.7016290261035                                -0.5942443340640973                               0.5280261097691388                                -1.7150824865759469                               0.5282914720185379                                -1.7156316099322193
3986.927053712355                                 -3.5554281002490566                               -3.868616475000611                                -3.233603879537135                                -3.8698071665952214                               -3.2344843400810523
4993.514904116048                                 -1.2197744005489544                               -1.3331553767007396                               -1.1020140174408677                               -1.3333471961044219                               -1.1028903764234976
5345.755027673949                                 2.0488568379833505                                0.7564201113839574                                3.33300464835478                                  0.7567830840790515                                3.33473322372226
5428.329187591395                                 -1.5592667564273173                               -1.1414588709426476                               -1.9713565234458454                               -1.1424155024905356                               -1.9721070918900134
5481.540833129777                                 -1.9599695638364758                               -1.9248943327303296                               -1.9874725563497573                               -1.9258307264570225                               -1.9888551430994008
6313.430279897452                                 0.23024252639923445                               0.12174361321753878                               0.3373300727481987                                0.12122803344254159                               0.33713292908190384
