% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:05
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Z component (m), Point: 37    Displacement field, Z component (m), Point: 39    Displacement field, Z component (m), Point: 65    Displacement field, Z component (m), Point: 93    Displacement field, Z component (m), Point: 95
0.0018537361465796967i                            0.25235432636120636                               0.252354326359124                                 1.059171013388836E-12                             -0.2523543263602035                               -0.2523543263623563
574.7578125181318                                 -0.021717085898119538                             0.027015857868752616                              -0.03461031925997026                              -0.02170966788885669                              0.02702306260840002
687.773288604292                                  0.003243359249020716                              0.003311198383148188                              4.227297347465302E-5                              -0.0031809228736546587                            -0.0033335372403865506
1113.942186180718                                 0.02676543483425552                               0.23112788374348386                               -0.027171602329145884                             0.026741232176513797                              0.23110345890606104
1362.4069004031387                                0.27033023429622643                               -0.8600263264772132                               0.5698549345538304                                0.27040083570835816                               -0.859957074079134
1679.1663920339495                                -0.04329712387125364                              -0.03917042667072387                              -8.620021482081628E-4                             0.04301500833458269                               0.044331188976208816
1855.6239658721333                                0.01770485535556932                               0.6885173842826067                                -0.1592255533461857                               0.01780026640867457                               0.6886178329125423
2023.4307599769995                                -0.0970080786751785                               -0.09609822922088111                              -0.001137209233584755                             0.09550054181173465                               0.09749390464807134
2405.6965100041384                                -0.5564014554381133                               2.8335199816645753                                -1.4501701991812848                               -0.5561907062115892                               2.833731420788724
2526.7750115939043                                -0.08425175394487774                              -0.07717502029579582                              -0.0031736226967723903                            0.0804399851933978                                0.08290475618826916
2544.2630558503934                                -3.671585755002378                                6.219236879634169                                 -6.296222205234493                                -3.6715960190138857                               6.219255350053244
2774.9053619547276                                -0.19109858990175238                              -0.18330048079986805                              -0.0042234825145021455                            0.1861624666915002                                0.19164985547553798
2799.0554098408675                                0.7246143972785228                                -1.3013036408467853                               1.2629047249984284                                0.7260019479216924                                -1.2999275815941735
3659.7016290261035                                -2.5462317287817195                               3.5358990800304766                                -4.156984587628045                                -2.5459203100278374                               3.536225941084484
3986.927053712355                                 0.02247234841813457                               0.016955824044039825                              -0.001699972822131043                             -0.024641544089379196                             -0.01437087327551399
4993.514904116048                                 -0.738285811561964                                -0.7379113318186695                               0.0013156806483601683                             0.7393970735640599                                0.7336927868066206
5345.755027673949                                 -0.05083586277850248                              -0.0033123587053412347                            1.774658931802006E-4                              0.05368177992008748                               0.014948418324337215
5428.329187591395                                 0.7415095568046021                                2.81043681864652                                  0.19267015018107086                               0.7417184454339798                                2.810781108524254
5481.540833129777                                 -1.5088431241305753                               -0.3824936200753667                               -1.8081168399402991                               -1.5082048505858523                               -0.3819835963445371
6313.430279897452                                 0.4651785772640127                                0.08447843551723375                               0.5782887637558791                                0.46544726882281107                               0.08470177274780853
