% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:06
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Y-component (m), Point: 129   Displacement field, Y-component (m), Point: 130   Displacement field, Y-component (m), Point: 131   Displacement field, Y-component (m), Point: 132   Displacement field, Y-component (m), Point: 133
0.0018537361465796967i                            -8.250030339643752E-12                            -7.622644327584074E-12                            -8.882310918736116E-12                            -7.618714034807692E-12                            -8.889867917838618E-12
574.7578125181318                                 2.583656029445649                                 2.573194700036234                                 2.5939658712824962                                2.5732087784848248                                2.593980862234542
687.773288604292                                  -3.441532494554169                                -3.4398287545562187                               -3.4429252586536983                               -3.4398532312893226                               -3.442950623512308
1113.942186180718                                 2.783206842522281                                 3.120652236611272                                 2.445088990497124                                 3.12071506742926                                  2.4451362746342213
1362.4069004031387                                3.4419863460202893                                2.9929787851512057                                3.889823213799011                                 2.9930620200109788                                3.8899471497025977
1679.1663920339495                                -0.6216687273425202                               -2.133345694744705                                0.8904742353411437                                -2.133421210338151                                0.8905239142547492
1855.6239658721333                                1.3537989714354384                                2.1213008612600426                                0.5855619941897219                                2.1214465241009064                                0.5855799595812721
2023.4307599769995                                -1.2286869309040245                               -0.663227462652613                                -1.792941637074424                                -0.6632086529676152                               -1.7930608404647292
2405.6965100041384                                0.12363401268433362                               -0.4358988831994242                               0.683069748374269                                 -0.43580059294161555                              0.683002450848045
2526.7750115939043                                10.593827167242555                                10.582414154184344                                10.593912277043987                                10.583529346509517                                10.595063888121704
2544.2630558503934                                2.3229794802717856                                2.0310532405707433                                2.6123734315888076                                2.0311938273495174                                2.6127303258605936
2774.9053619547276                                -4.5159967066831355                               -4.531858736027751                                -4.493452424209696                                -4.53240199475348                                 -4.494002679966138
2799.0554098408675                                12.47886790842193                                 12.610151811226462                                12.330953733294367                                12.61178894986334                                 12.332558759884671
3659.7016290261035                                -0.5974649081510818                               0.524353940175555                                 -1.717877935649823                                0.5246437446884229                                -1.7184118144961946
3986.927053712355                                 3.558536585195867                                 3.8737923097546654                                3.234607017180057                                 3.874914622697932                                 3.2354572073496146
4993.514904116048                                 1.2188162000067775                                1.330700130233302                                 1.1025454161956156                                1.330850324811635                                 1.1034039239063191
5345.755027673949                                 -2.0442969347269004                               -0.747224233528945                                -3.3331432547343134                               -0.7474753396570645                               -3.3348043101966676
5428.329187591395                                 -1.552116217720844                                -1.1364265686236514                               -1.9620510705032688                               -1.1373174200036424                               -1.9627853536956796
5481.540833129777                                 -1.9624468180876529                               -1.923171035426528                                -1.99412286478471                                 -1.9240310644871763                               -1.995436728572468
6313.430279897452                                 0.23050674234574217                               0.12338877230041737                               0.3363626356653841                                0.12286283335976339                               0.3361068826542764
