% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 4 2023, 13:07
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Y-component (m), Point: 37    Displacement field, Y-component (m), Point: 39    Displacement field, Y-component (m), Point: 65    Displacement field, Y-component (m), Point: 93    Displacement field, Y-component (m), Point: 95
0.0018537361465796967i                            -7.11829792218479E-12                             -7.116204334544764E-12                            -7.276262863733222E-12                            -7.434594049419212E-12                            -7.437617424127744E-12
574.7578125181318                                 1.2512999827248161                                1.2513097147518442                                1.251285413729444                                 1.2512659863767253                                1.2512756233195466
687.773288604292                                  0.15711157869594028                               0.1571137123733752                                -1.5840071348033926E-4                            -0.15742852629043025                              -0.1574306230180685
1113.942186180718                                 0.4591836095215045                                0.45921075218926716                               0.45924534276092016                               0.4594705824407935                                0.4594972093761222
1362.4069004031387                                -3.867474551601098                                -3.8676035668744917                               -3.868198271852993                                -3.8676623902746936                               -3.8677900462614154
1679.1663920339495                                0.5521208737656201                                0.5521610040905208                                0.00637846716470383                               -0.5393687178559029                               -0.539406615207595
1855.6239658721333                                1.183698742351034                                 1.183829989613862                                 1.1846871636277578                                1.185583190925064                                 1.1857120665673382
2023.4307599769995                                -0.21340047112799732                              -0.21339430828551637                              0.0030914593646227126                             0.21957824564456016                               0.2195734589009897
2405.6965100041384                                5.424764475046008                                 5.4256345488129085                                5.425937398380235                                 5.423712077411457                                 5.424564685156065
2526.7750115939043                                0.40566113050299757                               0.40576147006959096                               0.007182849599795291                              -0.39131274389191933                              -0.39140788650222413
2544.2630558503934                                14.716978517772917                                14.718525970199906                                14.724857697163209                                14.715608741425758                                14.717134041254964
2774.9053619547276                                0.0551287570932217                                0.05525490517272924                               0.008311134813243741                              -0.038531566774886755                             -0.0386481731273154
2799.0554098408675                                -2.555498257391072                                -2.5558349581153514                               -2.5568917242738496                               -2.5549999219108877                               -2.5553320431725655
3659.7016290261035                                5.769810154474084                                 5.771332078280693                                 5.7744157049021565                                5.767831790344526                                 5.769319042742856
3986.927053712355                                 -0.6512228270479566                               -0.6514492376562635                               0.0020064050961653064                             0.655244594598143                                 0.6554676406688883
4993.514904116048                                 -0.10398657394700099                              -0.10342482674517617                              -0.002059251110113797                             0.09978640753876301                               0.09926665920238481
5345.755027673949                                 2.000797844086589                                 2.0020034865132748                                0.002491625223999926                              -1.995888843035042                                -1.9970686029190552
5428.329187591395                                 1.2560433943337506                                1.2570545062249099                                1.260726717809676                                 1.25988842990651                                  1.2608849563506623
5481.540833129777                                 0.8968137598366633                                0.8970434841560371                                0.8965003431420379                                0.8909171526362265                                0.8911297792348164
6313.430279897452                                 -0.24320782872346566                              -0.24258818399859533                              -0.24696594898797158                              -0.24403798994793705                              -0.2434359159903762
