% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 18:14
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Z component (m), Point: 1     Displacement field, Z component (m), Point: 129
4.1021100561012923E-4i                            2.648630990029107                                 -2.648630990029832
583.8188741147544                                 0.00152292553065979                               0.0014787135732189697
692.5170950391825                                 -0.05401619262384609                              0.054236444652161896
1120.892204892143                                 0.07882698521875199                               0.07871490218872812
1372.893204297148                                 0.12487693376841019                               0.12634384713729926
1695.4292370263704                                -1.5732301910497988                               1.5760815953398293
1864.9333374144767                                -0.008677363947380638                             -0.004776289651230942
2042.7483756478905                                -0.2557310252271629                               0.2536246941367498
2417.8597276748606                                2.6836212400912824                                2.6827856557828467
2546.9167484527775                                -0.03529913060894106                              0.02389445351461768
2565.734599469969                                 -0.6301318939517433                               -0.6308712814949643
2793.7355407137316                                0.028403946896414158                              -0.03948325751619079
2826.1211740505964                                0.13470333319988456                               0.1345191853970493
3680.470744040733                                 0.13408238667521194                               0.1335396866345493
4009.637113721698                                 0.009996386046666129                              -0.009937492782697913
5013.542404037637                                 -0.5117923947683707                               0.5087501623502434
5373.947771320408                                 0.2835635206789681                                -0.2982334732744058
5455.8131854252715                                -1.2454159143235146                               -1.2442769562461953
5515.682716007626                                 0.48346018648535355                               0.48237625384286753
6331.631780622507                                 -0.034535057112683336                             -0.030784482062572935
