% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 19:10
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Y-component (m), Point: 1     Displacement field, Y-component (m), Point: 129
4.1021100561012923E-4i                            -4.986034032738706E-13                            1.2994228082865558E-11
583.8188741147544                                 2.646366210297054                                 2.619473942082015
692.5170950391825                                 -3.527303215627533                                3.548226590262097
1120.892204892143                                 -2.5858099725191157                               -2.586994068579802
1372.893204297148                                 3.4600904855499675                                3.455612014176671
1695.4292370263704                                0.6250718185801802                                -0.6522094957034351
1864.9333374144767                                1.3100623420703392                                1.31181984730974
2042.7483756478905                                1.112302968207175                                 -1.1161232212283323
2417.8597276748606                                0.07929994601286468                               0.06484325983026473
2546.9167484527775                                -9.303845852017863                                9.478813881468316
2565.734599469969                                 2.1016334362907645                                1.9305913347104768
2793.7355407137316                                4.308110473325989                                 -4.73055713501958
2826.1211740505964                                10.854235181783617                                10.552196542087009
3680.470744040733                                 -0.5850050716455469                               -0.5849518711431606
4009.637113721698                                 -3.7142417015663143                               3.6999472251687315
5013.542404037637                                 -1.2168541158924433                               1.2069580381016978
5373.947771320408                                 2.1671758583909257                                -2.1705826156549533
5455.8131854252715                                -1.3666489975605962                               -1.3489919224519797
5515.682716007626                                 -2.1161479745345835                               -2.1159199262813377
6331.631780622507                                 0.23648510676678416                               0.2348528358850701
