% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 14:53
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Y-component (m), Point: 17    Displacement field, Y-component (m), Point: 99
4.7339737629704655E-4i                            -3.082247970292597E-12                            -4.5955222722230794E-12
600.3077314587214                                 1.7200494641586346                                1.987528521554244
757.5016951364287                                 -1.9580033536550279                               1.9749713610934312
1137.817727911093                                 -1.5276392419273566                               2.2007986729467652
1475.7327166685689                                5.7749715973766085                                -0.12792390454025454
1664.707303454327                                 2.7688362679879956                                3.807360067470492
1864.820434669484                                 1.5936026421319054                                -1.649555279841593
2063.2443637261645                                -1.351983016964636                                -0.4665116411558773
2505.6264833010305                                1.626517084945902                                 -0.24073343167259278
2616.394710343452                                 10.390624783415259                                -8.411013921092389
2707.0943008727477                                8.692346529661569                                 10.956547741044481
2819.0873477074097                                -2.8670187909921196                               3.551489669472816
3662.0802836418734                                -2.8385350321391685                               1.533660488157549
3980.174369260155                                 2.8606071144748015                                -3.686930115123777
5089.640095255555                                 -0.9404286438656179                               0.9248665986151631
5400.5343315635155                                -1.9173752104405228                               0.14478203803317793
5442.340095960123                                 1.4782683255815907                                0.2871988221611717
5545.098668040706                                 -2.935854212528497                                -2.0958878374296415
6682.834861640683                                 -0.4820667266618389                               -0.15206946379615705
6953.996930458283                                 -0.710739273949467                                -1.4444777338996062
