% Model:              ModalMasses.mph
% Version:            COMSOL 4.2.1.110
% Date:               May 31 2012, 15:02
% Table:              Table 3 - Point Evaluation 2 (u)
% Eigenfrequency                                  Displacement field, Y component (m), Point: 1     Displacement field, Y component (m), Point: 2     Displacement field, Y component (m), Point: 3     Displacement field, Y component (m), Point: 4     Displacement field, Y component (m), Point: 5
0.0014203318061296298i                            -4.188679546990783E-12                            -1.2974690304093403E-12                           -7.075088406530554E-12                            -1.2994101258091653E-12                           -7.075088406530554E-12
585.747437683654                                  2.5909629724366074                                2.57830701839894                                  2.603472279657639                                 2.578321194696578                                 2.6034917403458357
694.8041395466646                                 3.4696173713319545                                3.4675109448795904                                3.4713819532157264                                3.467545297291706                                 3.4714224404923613
1124.1700960461212                                -2.314526527054106                                -2.58842732846825                                 -2.0400502473342192                               -2.5885233675043486                               -2.0401105981884116
1423.1585642807847                                4.113063567793842                                 3.5455043494771985                                4.679158882728213                                 3.5455299996372256                                4.679360240777045
1711.143730211119                                 0.5725005741629029                                1.886114687527177                                 -0.7412144957207332                               1.8858348844471564                                -0.7413306969458597
1880.428727540187                                 0.9763935632955996                                1.627551531324424                                 0.32499703649929856                               1.627432762767598                                 0.324960952377043
2063.115645608141                                 0.8991266583340388                                0.4822040769795357                                1.315814822134341                                 0.4815296178417828                                1.3159387218991023
2438.678917095571                                 -0.508281803102373                                -0.9528849709092669                               -0.06300062257528936                              -0.9526609833861628                               -0.06317249290165752
2577.1397199353737                                -8.828852634191149                                -8.819460796061314                                -8.828315253632391                                -8.820549219872726                                -8.829804953387685
2829.3964492879877                                4.3466234537334865                                4.364328083336279                                 4.322607648280166                                 4.364907890144562                                 4.322984250930725
2856.175060333229                                 9.765083723226672                                 9.817289407504374                                 9.699754920042237                                 9.81868880306147                                  9.700926971792237
3601.4993017601937                                -0.7181593714860862                               0.5806730630882881                                -2.0142735200240542                               0.5807663543171129                                -2.015463547118952
4039.9693591683113                                -3.6527190108615284                               -3.9851215375985536                               -3.313343958507216                                -3.985780286253622                                -3.3140936884780845
5117.167034566054                                 1.3966633262793293                                1.5713654837230018                                1.216838171684324                                 1.57285394812586                                  1.2171701290374315
5442.256009323301                                 -2.2029552128856547                               -0.8665407734086878                               -3.5305846843286046                               -0.865501215097119                                -3.5338620154486073
5493.761186057144                                 -2.2070374025198327                               -1.8266104670391239                               -2.5784546361656893                               -1.8285753503281512                               -2.578906131082446
5562.619110274648                                 -1.3473614397032125                               -1.4896693547868678                               -1.1995819999408994                               -1.4893629980779342                               -1.1992875891212287
6351.550848191616                                 0.23869918941591065                               0.13952739383298357                               0.33495832233968137                               0.13801439572307708                               0.3354931969788764
6904.926030604685                                 1.306804652622457                                 2.462840193097442                                 0.14876784857709446                               2.4611633133189192                                0.14600954755576723
