% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 14:20
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency                                  Displacement field, X component (m), Point: 38    Displacement field, X component (m), Point: 39
4.7339737629704655E-4i                            2.0427311318010997                                2.4380984476350536
600.3077314587214                                 0.011671392860730687                              0.01198918413894863
757.5016951364287                                 1.0193075224109476                                1.0658983388912482
1137.817727911093                                 0.007642797052261068                              0.009879853077491509
1475.7327166685689                                0.21627122470061913                               0.2925789796717987
1664.707303454327                                 2.204031151981671                                 3.3438831056870204
1864.820434669484                                 -0.04536667584690484                              -0.07320116075154803
2063.2443637261645                                2.36761107743639                                  5.192815462119283
2505.6264833010305                                0.1271939127068063                                0.5635263620463673
2616.394710343452                                 -0.005940730901638911                             0.3348757076605708
2707.0943008727477                                0.013109361710627572                              -0.022475761647477062
2819.0873477074097                                -0.040129208563021136                             -2.290784970385022
3662.0802836418734                                0.4535125034407322                                -0.5391418580971432
3980.174369260155                                 1.585984694644776                                 -1.3156868284602146
5089.640095255555                                 1.0994833714901444                                -0.45924670704413006
5400.5343315635155                                1.815986429452619                                 -0.5427428879374993
5442.340095960123                                 -0.22955447359726855                              0.07916369632800081
5545.098668040706                                 0.43591790490857185                               -0.11747685793668611
6682.834861640683                                 -0.10115099271328509                              0.021528022016549738
6953.996930458283                                 -0.5019213722638849                               0.1309691753206222
