% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 14:27
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Z component (m), Point: 17    Displacement field, Z component (m), Point: 99
4.7339737629704655E-4i                            1.0411339316904742                                -1.0437317710647
600.3077314587214                                 -0.05253978295767018                              0.06790253547317794
757.5016951364287                                 0.07724566768725456                               0.168952844618968
1137.817727911093                                 0.1496861780952433                                0.2969686448739896
1475.7327166685689                                -1.0077621789617655                               0.04616075490941569
1664.707303454327                                 -0.8136931956717517                               0.9436209224364374
1864.820434669484                                 -0.29810033538199154                              -0.19236189658190248
2063.2443637261645                                0.21028503189205555                               -0.09872121333337196
2505.6264833010305                                1.0750019114346625                                1.5539860168436725
2616.394710343452                                 -4.491964717460229                                -3.6235077485223233
2707.0943008727477                                -3.7924099457578566                               4.699371728057841
2819.0873477074097                                1.0538116811054852                                1.3800812227317139
3662.0802836418734                                1.8433899944894578                                1.0902066685347862
3980.174369260155                                 -2.1045229391821323                               -2.6269376934595843
5089.640095255555                                 1.0700450330536557                                0.7755791398521025
5400.5343315635155                                2.0758584539979608                                0.3243584364373333
5442.340095960123                                 -0.2883535364035929                               1.5925751568750761
5545.098668040706                                 3.333213729629087                                 -1.4448530552611514
6682.834861640683                                 2.0431953574279786                                -1.1296598878899848
6953.996930458283                                 1.4942310593428598                                -1.3630794894460911
