% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 14:18
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Z component (m), Point: 17
4.7339737629704655E-4i                            1.0411339316904742
600.3077314587214                                 -0.05253978295767018
757.5016951364287                                 0.07724566768725456
1137.817727911093                                 0.1496861780952433
1475.7327166685689                                -1.0077621789617655
1664.707303454327                                 -0.8136931956717517
1864.820434669484                                 -0.29810033538199154
2063.2443637261645                                0.21028503189205555
2505.6264833010305                                1.0750019114346625
2616.394710343452                                 -4.491964717460229
2707.0943008727477                                -3.7924099457578566
2819.0873477074097                                1.0538116811054852
3662.0802836418734                                1.8433899944894578
3980.174369260155                                 -2.1045229391821323
5089.640095255555                                 1.0700450330536557
5400.5343315635155                                2.0758584539979608
5442.340095960123                                 -0.2883535364035929
5545.098668040706                                 3.333213729629087
6682.834861640683                                 2.0431953574279786
6953.996930458283                                 1.4942310593428598
