% Model:              ModalMasses.mph
% Version:            COMSOL 4.2.1.110
% Date:               May 31 2012, 15:02
% Table:              Table 3 - Point Evaluation 2 (u)
% Eigenfrequency                                  Displacement field, X component (m), Point: 1     Displacement field, X component (m), Point: 2     Displacement field, X component (m), Point: 3     Displacement field, X component (m), Point: 4     Displacement field, X component (m), Point: 5
0.0014203318061296298i                            -6.048248940023131E-12                            -0.25329120797576704                              0.2532912079630913                                -0.25329120797683896                              0.25329120796200305
585.747437683654                                  -0.17678980024340113                              -0.1026726344277343                               -0.10249525906027729                              0.1775250439413941                                0.17769977327526856
694.8041395466646                                 -0.2729778904645482                               -0.1216840272567788                               -0.11209396428554488                              0.46758104049659593                               0.4771336830577741
1124.1700960461212                                0.41638251925499814                               0.24140444946265077                               0.24005681312927946                               -0.42186499457165444                              -0.4226154536193224
1423.1585642807847                                -0.9577997455563595                               -0.5507613623590673                               -0.5511970394486724                               0.9837678362074146                                0.9850829038023251
1711.143730211119                                 0.02059788784656184                               0.1415437017523592                                0.032006383928655846                              0.3930755611026258                                0.27832198808575137
1880.428727540187                                 -0.3129195811602313                               -0.1834991713252943                               -0.17940165464853308                              0.31484682815644                                  0.3152862964013184
2063.115645608141                                 0.03676363262933267                               0.18965143030684367                               0.14190335820774957                               0.6735662621401587                                0.6292801805523011
2438.678917095571                                 0.17808901423690404                               0.1105814563850346                                0.06797889367276005                               -0.22433348795071287                              -0.26492559136942767
2577.1397199353737                                4.510766497923553                                 2.928906556080051                                 2.9229669400762996                                -3.0526121701337146                               -3.0578468766011366
2829.3964492879877                                -0.26321595013145593                              0.6259780463708581                                0.6377620903238701                                3.9924528785686064                                4.003610376573681
2856.175060333229                                 -4.569471495289286                                -2.6016971761057306                               -2.6000525298342385                               4.821621840047818                                 4.822512240797131
3601.4993017601937                                0.3423893640774554                                0.16272641920172126                               0.1523140673497433                                -0.5175116750595762                               -0.5557301997299322
4039.9693591683113                                2.477450266152687                                 1.352709129661129                                 1.4461671513632945                                -2.717686358639095                                -2.6158703822467975
5117.167034566054                                 -1.7475164206316158                               -2.63114976657768                                 0.15737531033482072                               -0.706424273527727                                2.0833933163642313
5442.256009323301                                 2.5039998036464484                                1.2908223023527725                                1.9666082717727944                                -1.9744736500041018                               -1.3557963281395615
5493.761186057144                                 2.392808896730521                                 1.4229958892880517                                1.4870859679025148                                -2.1061515950676677                               -2.057164636885697
5562.619110274648                                 1.08829132557196                                  0.5196132260704778                                0.46374323348246277                               -1.7277901266086726                               -1.7816774537879265
6351.550848191616                                 -2.829022912442178                                -2.868321531682626                                -2.8220021573671445                               -2.9174744673474655                               -2.858665019925216
6904.926030604685                                 -1.1996452564302684                               -0.3866372269865255                               -0.4252750059849792                               2.6313095674440667                                2.513495459793443
