% Model:              ModalMasses.mph
% Version:            COMSOL 4.2.1.110
% Date:               May 31 2012, 15:02
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency                                  Displacement field, X component (m), Point: 38    Displacement field, X component (m), Point: 39
0.0014203318061296298i                            1.570405489422529                                 1.8743549389912078
585.747437683654                                  -0.0010852548064437136                            -0.0010719895240506332
694.8041395466646                                 -0.373679082648619                                -0.38653687438766654
1124.1700960461212                                -0.0010959760057066843                            -4.2404361510828183E-4
1423.1585642807847                                -0.0035932830081564864                            -0.004208259072978925
1711.143730211119                                 2.717224368387019                                 4.264639153160292
1880.428727540187                                 9.487257724318358E-4                              0.006992342274341047
2063.115645608141                                 2.41834501205695                                  5.312012694045773
2438.678917095571                                 2.5701089046274467E-4                             -0.0018423192263405095
2577.1397199353737                                -0.023890016752830232                             0.26349261818014885
2829.3964492879877                                -0.004183598060662512                             -2.167507638667159
2856.175060333229                                 9.733406719730558E-5                              -0.001809917883357859
3601.4993017601937                                0.008614116135293752                              -0.008646658513707918
4039.9693591683113                                1.8967083712697494                                -1.4806569311688218
5117.167034566054                                 0.9362623527684922                                -0.40873498579329187
5442.256009323301                                 -1.7690088107798176                               0.52218398853386
5493.761186057144                                 -0.01508969611227361                              0.00529396705593663
5562.619110274648                                 -0.012305299389812882                             0.0027633438857122983
6351.550848191616                                 0.0072580074531742485                             -3.6080880923954387E-4
6904.926030604685                                 0.2898704973887678                                -0.09269182291924194
