% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 19:19
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency                                  Displacement field, X component (m), Point: 42    Displacement field, X component (m), Point: 43
7.453691631704313E-4i                             1.5645968234376986                                1.8674220150708047
574.7578125197564                                 1.7928202009261882E-4                             2.5360088019612967E-4
687.7732886044406                                 -0.3703231883355585                               -0.38317534861574837
1113.9421861822168                                4.426014431871805E-4                              -8.861118329197863E-4
1362.406900404486                                 0.0017035925191760217                             0.002956233451313011
1679.1663920338008                                3.11841558914805                                  4.904480965143931
1855.6239658732661                                -0.0029683750934748052                            0.0034958270257530975
2023.4307599752374                                3.310453596870062                                 7.275841626188851
2405.6965100050215                                4.159875829057199E-4                              -7.058117581756415E-4
2526.775011594266                                 -0.02555491417896689                              0.31351497651679416
2544.2630558521873                                -0.0011114996806591189                            -0.0021242464924016396
2774.9053619544848                                -0.010334824000362168                             -2.2756941266188497
2799.0554098411176                                6.073343148147677E-4                              -0.006073029633726654
3659.7016290269394                                0.0011966460010263565                             0.0044150176629922195
3986.9270537123084                                1.9174556237215072                                -1.4762695410958604
4993.514904116277                                 -0.7874643833333582                               0.34793017229421985
5345.755027673773                                 1.6961114716557326                                -0.5034140085969997
5428.329187591357                                 0.001931862243310112                              0.0011672823142292762
5481.5408331296885                                -0.004690952870102903                             -0.0019577320305278114
6313.430279897134                                 3.119282266051371E-4                              -1.4763456187862696E-4
