% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 15:16
% Table:              Table 2 - Point Evaluation 1 (solid.disp)
% Eigenfrequency                                  Displacement field, X component (m), Point: 17    Displacement field, X component (m), Point: 99
4.7339737629704655E-4i                            -1.976836579159471                                1.9768365791591909
600.3077314587214                                 -0.06012227918930305                              0.05368115648370726
757.5016951364287                                 0.2496132818617768                                0.08060836719929278
1137.817727911093                                 0.14204626981307744                               -0.051091533680453154
1475.7327166685689                                0.13501833652497197                               -0.3735607273865522
1664.707303454327                                 -0.014442669372385294                             0.2933997406554774
1864.820434669484                                 -0.25164581535891406                              -0.16518397555916792
2063.2443637261645                                0.6724454961834568                                -0.09829934394237987
2505.6264833010305                                -1.211246066491372                                -1.1896687187899182
2616.394710343452                                 0.6698202227028746                                0.6008614981058639
2707.0943008727477                                0.024273622170377845                              -0.05777784400087299
2819.0873477074097                                1.9650039061215274                                1.978263570895076
3662.0802836418734                                1.1946980320643656                                1.033736408229669
3980.174369260155                                 0.04653153255797112                               -0.11346022285325083
5089.640095255555                                 -2.4639495147749524                               0.7336626767563281
5400.5343315635155                                -0.043934594519540585                             -1.6226468684832023
5442.340095960123                                 1.6797241882663687                                1.3869221123011692
5545.098668040706                                 -0.010761222796687812                             0.8033574969512383
6682.834861640683                                 -4.297858378871895                                4.63716899037568
6953.996930458283                                 -0.24729273597494292                              0.8890805653707419
