% Model:              ModalMasses.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 30 2023, 14:21
% Table:              Table 3 - Point Evaluation 2 (w)
% Eigenfrequency                                  Displacement field, Z component (m), Point: 99
4.7339737629704655E-4i                            -1.0437317710647
600.3077314587214                                 0.06790253547317794
757.5016951364287                                 0.168952844618968
1137.817727911093                                 0.2969686448739896
1475.7327166685689                                0.04616075490941569
1664.707303454327                                 0.9436209224364374
1864.820434669484                                 -0.19236189658190248
2063.2443637261645                                -0.09872121333337196
2505.6264833010305                                1.5539860168436725
2616.394710343452                                 -3.6235077485223233
2707.0943008727477                                4.699371728057841
2819.0873477074097                                1.3800812227317139
3662.0802836418734                                1.0902066685347862
3980.174369260155                                 -2.6269376934595843
5089.640095255555                                 0.7755791398521025
5400.5343315635155                                0.3243584364373333
5442.340095960123                                 1.5925751568750761
5545.098668040706                                 -1.4448530552611514
6682.834861640683                                 -1.1296598878899848
6953.996930458283                                 -1.3630794894460911
